movieId,title_cast,director,runtime,budget,plot_keywords
"21,John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina|Delroy Lindo|James Gandolfini|Jon Gries|Renee Props|David Paymer|Martin Ferrero|Miguel Sandoval|Jacob Vargas|Linda Hart|Bobby Slayton,Elmore Leonard,105,""$30,250,000"",movie business|loan shark|debt|mobster"
"22,Sigourney Weaver|Holly Hunter|Dermot Mulroney|William McNamara|Harry Connick Jr.|J.E. Freeman|Will Patton|John Rothman|Shannon O'Hurley|Bob Greene|Tony Haney|Danny Kovacs|Tahmus Rounds|Scott DeVenney|David Michael Silverman,Ann Biderman,123,""$20,000,000"",serial killer|psychopath|dead body in a bathtub|detective"
"23,Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov|Muse Watson|Steve Kahan|Kelly Rowan|Reed Diamond|Kai Wulff|Kerry Skalsky|James Douglas Haskins|Stephen Liska|John Harms|Edward J. Rosen|Christina Orchid,Lilly Wachowski,132,""$50,000,000"",assassin|rival|assassination|computer hacker"
"24,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen|Jeff Goldblum|Brandon Smith|Bradford Tatum|Susan Tyrrell|Missy Crider|Ray Wise|Esteban Powell|Reed Frerichs|Chad Cox|Joe Marchman|Philip Maurice Hayes|Danette McMahon,Victor Salva,111,""$9,500,000"",albino|electricity|loneliness|bully"
"25,Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis|Steven Weber|Kim Adams|Emily Procter|Stuart Regen|Valeria Golino|Graham Beckel|Albert Henderson|Shashi Bhatia|Carey Lowell|Anne Lange|Thomas Kopache,John O'Brien,111,""$3,600,000"",prostitute|alcoholism|alcoholic|falling in love with a prostitute"
"26,Laurence Fishburne|Irène Jacob|Kenneth Branagh|Nathaniel Parker|Michael Maloney|Anna Patrick|Nicholas Farrell|Indra Ové|Michael Sheen|André Oumansky|Philip Locke|John Savident|Gabriele Ferzetti|Pierre Vaneck,Oliver Parker,123,""$11,000,000"",italy|black man white woman marriage|black man white woman sex|black man white woman kiss"
27,Christina Ricci|Rosie O'Donnell|Thora Birch|Melanie Griffith|Gaby Hoffmann|Demi Moore|Ashleigh Aston Moore|Rita Wilson|Devon Sawa|Walter Sparrow|Cloris Leachman|Lolita Davidovich|Janeane Garofalo|Hank Azaria|Bonnie Hunt,I. Marlene King,100,NA,1970s|year 1991|1990s|year 1970
28,Amanda Root|Ciarán Hinds|Susan Fleetwood|Corin Redgrave|Fiona Shaw|John Woodvine|Phoebe Nicholls|Samuel West|Sophie Thompson|Judy Cornwell|Simon Russell Beale|Felicity Dean|Roger Hammond|Emma Roberts|Victoria Hamilton,Roger Michell,107,NA,captain|accident|napoleonic wars|marriage
"29,Ron Perlman|Daniel Emilfork|Judith Vittet|Dominique Pinon|Jean-Claude Dreyfus|Geneviève Brunet|Odile Mallet|Mireille Mossé|Serge Merlin|Rufus|Ticky Holgado|Joseph Lucien|Mapi Galán|Briac Barthélémy|Pierre-Quentin Faesch,Jean-Pierre Jeunet,112,""$18,000,000"",psychotronic film|underwater scene|children|dream"
30,Li Gong|Baotian Li|Xiaoxiao Wang|Xuejian Li|Chun Sun|Biao Fu|Shu Chen|Jiang Liu|Baoying Jiang|Qianquan Yang|Ying Gao|Weiming Gao|Shuliang Lian|Ya'nan Wang|Zhang Yayun,Feiyu Bi,NA,NA,
"31,Michelle Pfeiffer|George Dzundza|Courtney B. Vance|Robin Bartlett|Beatrice Winde|John Neville|Lorraine Toussaint|Renoly Santiago|Wade Dominguez|Bruklin Harris|Marcello Thedford|Roberto Alvarez|Richard Grant|Marisela Gonzales|Toni Nichelle Buzhardt,LouAnne Johnson,99,""$23,000,000"",teacher student relationship|ex marine|pregnancy|high school principal"
"32,Joseph Melito|Bruce Willis|Jon Seda|Michael Chance|Vernon Campbell|H. Michael Walls|Bob Adrian|Simon Jones|Carol Florence|Bill Raymond|Ernest Abuba|Irma St. Paule|Madeleine Stowe|Joey Perillo|Bruce Kirkpatrick,Chris Marker,129,""$29,000,001"",time travel|virus|mental institution|underground"
33,Craig Sheffer|Tom Hulce|Elizabeth McGovern|Val Kilmer|Ken Pogue|Ron Sauvé|Freddy Andreiuci,Alain Godard,50,NA,airmail|period piece|3 dimensional
"34,Christine Cavanaugh|Miriam Margolyes|Danny Mann|Hugo Weaving|Miriam Flynn|Russi Taylor|Evelyn Krape|Michael Edward-Stevens|Charles Bartlett|Paul Livingston|Roscoe Lee Browne|James Cromwell|Magda Szubanski|Zoe Burton|Paul Goddard,Dick King-Smith,91,""$30,000,000"",farmer|pig|sheep|farm"
35,Emma Thompson|Jonathan Pryce|Steven Waddington|Samuel West|Rufus Sewell|Penelope Wilton|Janet McTeer|Peter Blythe|Jeremy Northam|Alex Kingston|Sebastian Harcombe|Richard Clifford|David Ryall|Stephen Boxer|Annabel Mullion,Christopher Hampton,121,NA,writer|gay|rape|f rated
"36,Susan Sarandon|Sean Penn|Robert Prosky|Raymond J. Barry|R. Lee Ermey|Celia Weston|Lois Smith|Scott Wilson|Roberta Maxwell|Margo Martindale|Barton Heyman|Steve Boles|Nesbitt Blaisdell|Ray Aranha|Larry Pine,Helen Prejean,122,""$11,000,000"",nun|solitary confinement|execution|capital punishment"
37,Peter Reznick|John McDonough|Avi Hoffman|Victor Steinbach|Peter Boyden|Philip Levy|Nick Muglia|Abby Lewis|Matt Malloy|Luigi Petrozza|Bernard Ferstenberg|Robert Buckley|Donald Trump|Patrick Flynn|George Gerard,Stephen Low,51,NA,donald trump|immigrant|11 year old|brooklyn new york city
38,Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen|Ashley Olsen|Philip Bosco|Jane Sibbett|Michelle Grisom|Desmond Robertson|Tiny Mills|Shanelle Henry|Anthony Aiello|LaTonya Borsay|Michèle Lonsdale Smith|Sean Orr|Elizabeth Walsh,Deborah Dean Davis,101,NA,mistaken identity|identity swapping|nylon stockings|child plays matchmaker
"39,Alicia Silverstone|Stacey Dash|Brittany Murphy|Paul Rudd|Donald Faison|Elisa Donovan|Breckin Meyer|Jeremy Sisto|Dan Hedaya|Aida Linares|Wallace Shawn|Twink Caplan|Justin Walker|Sabastian Rashidi|Herb Hall,Amy Heckerling,97,""$12,000,000"",miniskirt|girl wears a miniskirt|short skirt|virgin"
40,James Earl Jones|Richard Harris|Vusi Kunene|Charles S. Dutton|Tsholofelo Wechoemang|Dolly Rathebe|Ramolao Makhene|Jack Robinson|Jennifer Steyn|Patrick Ndlovu|Darlington Michaels|King Twala|Somizi Mhlongo|Sam Ngakane|John Whiteley,Ronald Harwood,106,NA,1940s|racial tension|apartheid|south africa
"41,Christopher Bowen|Edward Jewesbury|Ian McKellen|Bill Paterson|Annette Bening|Matthew Groom|John Wood|Nigel Hawthorne|Maggie Smith|Kate Steavenson-Payne|Robert Downey Jr.|Tres Hanley|Tim McInnerny|Stacey Kent|Jim Carter,Ian McKellen,110,""GBP6,000,000"",fascist|dog|tank|battle"
"42,Larenz Tate|Keith David|Chris Tucker|Freddy Rodríguez|Rose Jackson|N'Bushe Wright|Alvaleta Guess|James Pickens Jr.|Jenifer Lewis|Clifton Powell|Elizabeth Rodriguez|Terrence Howard|Ryan Williams|Larry McCoy|Rodney Winfield,Allen Hughes,119,""$10,000,000"",vietnam war|1960s|black panthers|new york city"
"43,Robert Downey Jr.|Sam Neill|David Thewlis|Polly Walker|Meg Ryan|Ian McKellen|Hugh Grant|Ian McDiarmid|Mary MacLeod|Mark Letheren|Sandy McDade|Rosalind Bennett|Willie Ross|David Gant|Benjamin Whitrow,Rose Tremain,117,""$19,000,000"",17th century|plague|based on novel|king charles ii"
"44,Christopher Lambert|Robin Shou|Linden Ashby|Cary-Hiroyuki Tagawa|Bridgette Wilson-Sampras|Talisa Soto|Trevor Goddard|Chris Casamassa|François Petit|Keith Cooke|Hakim Alston|Kenneth Edwards|John Fujioka|Daniel Haggard|Sandy Helberg,Ed Boon,101,""$18,000,000"",based on video game|campy|evil man|villain"
"45,Nicole Kidman|Matt Dillon|Joaquin Phoenix|Casey Affleck|Illeana Douglas|Alison Folland|Dan Hedaya|Wayne Knight|Kurtwood Smith|Holland Taylor|Susan Traylor|Maria Tucci|Tim Hopper|Michael Rispoli|Buck Henry,Joyce Maynard,106,""$20,000,000"",scantily clad female|new hampshire|television|coitus"
"46,Kaelynn Craddick|Sara Craddick|Kate Capshaw|Adam Baldwin|Winona Ryder|Dermot Mulroney|Ellen Burstyn|Anne Bancroft|Maya Angelou|Alfre Woodard|Lois Smith|Jean Simmons|Kate Nelligan|Denis Arndt|Rip Torn,Whitney Otto,117,""$10,000,000"",younger version of character|triple f rated|title directed by female|love"
"47,Morgan Freeman|Andrew Kevin Walker|Daniel Zacapa|Brad Pitt|Gwyneth Paltrow|John Cassini|Bob Mack|Peter Crombie|Reg E. Cathey|R. Lee Ermey|George Christy|Endre Hules|Hawthorne James|William Davidson|Bob Collins,Andrew Kevin Walker,127,""$33,000,000"",serial killer|detective|serial murder|seven deadly sins"
"48,Joe Baker|Christian Bale|Irene Bedard|Billy Connolly|James Apaumut Fall|Mel Gibson|Linda Hunt|John Kassir|Judy Kuhn|Danny Mann|Russell Means|David Ogden Stiers|Michelle St. John|Gordon Tootoosis|Frank Welker,Eric Goldberg,81,""$55,000,000"",unsubtitled foreign language|disobedience|pocahontas character|captain john smith character"
49,Pascale Bussières|Rachael Crawford|Henry Czerny|David Fox|Don McKellar|Tracy Wright|Clare Coulter|Karyne Steben|Sarah Steben|Jonathan Potts|Tom Melissis|Stuart Clow|Richard W. Farrell|Fides Krucker|Thomas Sokolowski,Patricia Rozema,94,NA,christian|teacher|scissoring|tribadism
"50,Stephen Baldwin|Gabriel Byrne|Benicio Del Toro|Kevin Pollak|Kevin Spacey|Chazz Palminteri|Pete Postlethwaite|Suzy Amis|Giancarlo Esposito|Dan Hedaya|Paul Bartel|Carl Bressler|Phillipe Simon|Jack Shearer|Christine Estabrook,Christopher McQuarrie,106,""$6,000,000"",criminal|suspect|criminal mastermind|flashback"
51,Cynthia Rothrock|Daniel McVicar|Lydie Denier|Marshall R. Teague|Ken McLeod|John O'Leary|Anna Dalva|Robert Miano|Brian Brophy|Matthew Walker|Art Camacho|Dan Doherty|Dale Jacoby|Bela Lehoczky|Richard W. Munchkin,Richard W. Munchkin,97,NA,murder of a police officer|shooting a police officer|police officer|police officer killed
"52,Pamela Blair|Rene Ceballos|Elie Chaib|George De La Pena|Joanne DiMauro|Denise Faye|Marian Filali|Angelo Fraboni|Scott Fowler|Seth Gertsacov|Patti Karr|Fred Mann III|John Mineo|Christopher Nelson|Valda Setterfield,Woody Allen,95,""$15,000,000"",new york city|talking about sex|husband wife relationship|hot"
53,Enrico Lo Verso|Michele Placido|Piro Milkani|Carmelo Di Mazzarelli|Elida Janushi|Sefer Pema|Idajet Sejdia|Marieta Ljarja|Elina Ndreu|Ilir Ara|Liliana Subashi|Artan Marina|Vassjan Lammi|Nikolin Elezi|Fatmir Gjyla,Gianni Amelio,116,NA,albania|one word title|poverty|fraud
"54,Steve Guttenberg|Olivia d'Abo|Jay O. Sanders|John Terry|Chauncey Leopardi|Patrick Renna|Billy L. Sullivan|Yareli Arizmendi|Bug Hall|Jessica Robertson|Anthony Esquivel|Jordan Brower|Hayley Kolb|Haley Miller|Ashley Welch,Holly Goldberg Sloan,100,""$12,000,000"",close up of eyes|texas|fast motion|sports team"
55,Jennifer Jason Leigh|Mare Winningham|Ted Levine|Max Perlich|John Doe|John C. Reilly|Jimmy Witherspoon|Jason Carter|Tom Bower|Smokey Hormel|Jimmy Z.|Tony Marsico|Jamian Briar|Rachel Rasco|Nicole Donahoo,Barbara Turner,115,NA,voyeur|sex in bed|female rear nudity|female frontal nudity
56,Johnny Morina|Maggie Castle|Christopher Olscamp|Justin Borntraeger|Billy Coyle|Jeoffrey Graves|Malcolm McDowell|Peter Aykroyd|Mélany Goudreau|James Rae|Jamieson Boulanger|Roc LaFortune|Michael Ironside|René Simard|Melissa Altro,Robert Tinnell,89,NA,sword|magic|11 year old|boy
"57,Holly Hunter|Robert Downey Jr.|Anne Bancroft|Charles Durning|Dylan McDermott|Geraldine Chaplin|Steve Guttenberg|Cynthia Stevenson|Claire Danes|Emily Ann Lloyd|Zack Duhame|Austin Pendleton|David Strathairn|Amy Yasbeck|James Lecesne,Chris Radant,103,""$20,000,000"",thanksgiving|gay sibling|female protagonist|dysfunctional family"
"58,Philippe Noiret|Massimo Troisi|Maria Grazia Cucinotta|Renato Scarpa|Linda Moretti|Sergio Solli|Carlo Di Maio|Nando Neri|Vincenzo Di Sauro|Orazio Stracuzzi|Alfredo Cozzolino|Mariano Rigillo|Anna Bonaiuto,Massimo Troisi,108,""$3,000,000"",postman|poetry|island|poet"
59,Lothaire Bluteau|Patrick Goyette|Jean-Louis Millette|Kristin Scott Thomas|Ron Burrage|Richard Fréchette|François Papineau|Marie Gignac|Normand Daneau|Anne-Marie Cadieux|Suzanne Clément|Lynda Beaulieu|Pascal Rollin|Billy Merasty|Paul Hébert,Robert Lepage,100,NA,reference to joan of arc|1950s|priest|hitchcockian
"60,Hal Scardino|Litefoot|Lindsay Crouse|Richard Jenkins|Rishi Bhat|Steve Coogan|David Keith|Sakina Jaffrey|Vincent Kartheiser|Nestor Serrano|Ryan Olson|Leon Tejwani|Lucas Tejwani|Christopher Conte|Cassandra Brown,Lynne Reid Banks,96,""$45,000,000"",robocop character|five word title|child protagonist|miniature person"
"61,Sally Field|Ed Harris|Olivia Burnette|Alexandra Kyle|Kiefer Sutherland|Joe Mantegna|Beverly D'Angelo|Darrell Larson|Charlayne Woodard|Philip Baker Hall|Keith David|Wanda Acuna|Geoffrey Rivas|Armin Shimerman|Natalija Nogulich,Erika Holzer,101,""$20,000,000"",pantyhosed leg|rape|vigilante|rape and murder"
"62,Richard Dreyfuss|Glenne Headly|Jay Thomas|Olympia Dukakis|William H. Macy|Alicia Witt|Terrence Howard|Damon Whitaker|Jean Louisa Kelly|Alexandra Boyd|Nicholas John Renner|Joseph Anderson|Anthony Natale|Joanna Gleason|Beth Maitland,Patrick Sheane Duncan,143,""$23,000,000"",teaching|high school|1990s|deafness"
"63,Shawn Wayans|Marlon Wayans|Tracey Cherelle Jones|Chris Spencer|Suli McCullough|Darrel Heath|Helen Martin|Isaiah Barnes|Lahmard J. Tate|Keenen Ivory Wayans|Keith Morris|Craig Wayans|Casey Lee|Joe Scott|Kim Wayans,South Central,89,""$3,800,000"",hood|parody|grandmother|cult film"
64,Denis Leary|Sandra Bullock|Stephen Dillane|Yaphet Kotto|Mike Starr|Jonathan Tucker|Wayne Robson|Michael Badalucco|Lenny Clarke|Jonny Fido|Don Gavin|Shaun Clarke|Markus Parilo|John Friesen|Sean Runnette,Denis Leary,96,NA,painting|island|thief|voyeur
"65,William Atherton|Denise Dowse|Dara Tomanovich|Kevin West|Kylie Minogue|Pauly Shore|Stephen Baldwin|Joey Lauren Adams|Teresa Hill|Patricia Hearst|Robbie Thibaut Jr.|Adam Weisman|Henry Gibson|Brian Hayes Currie|Courtney Mizel,Adam Leff,88,""$15,000,000"",bio dome|experiment|biosphere|slapstick comedy"
"66,Patrick Bergin|Matt Frewer|Austin O'Brien|Ely Pouget|Camille Cooper|Patrick LaBrecque|Crystal Celeste Grant|Sean P. Young|Mathew Valencia|Kevin Conway|Trever O'Brien|Richard Fancy|Ellis Williams|Castulo Guerra|Molly Shannon,Farhad Mann,93,""$15,000,000"",psychotronic film|computer|parking garage|sword"
67,Jerry Barone|Mary Elizabeth Mastrantonio|Al Pacino|Patrick Borriello|Andy Romano|Donna Mitchell|Mary Lou Rosato|Joe Grifasi|Rosemary De Angelis|Ron McLarty|Charley Scalies|Joanna Merlin|Geoff Pierson|Karen Shallo|Nick Discenza,Joseph Stefano,85,NA,man wears eyeglasses|old man|suicide by hanging|great depression
68,Victoria Abril|Josiane Balasko|Alain Chabat|Ticky Holgado|Catherine Hiegel|Catherine Samie|Catherine Lachens|Katrine Boorman|Telsche Boorman|Véronique Barrault|Sylvie Audcoeur|Michèle Bernier|Maureen Diot|Miguel Bosé|Jean-Luc Violet,Patrick Aubrée,104,NA,f rated|lesbian|strong female character|polyamorous relationship
"69,Ice Cube|Chris Tucker|Nia Long|Tommy 'Tiny' Lister|John Witherspoon|Anna Maria Horsford|Regina King|Paula Jai Parker|Faizon Love|DJ Pooh|Angela Means|Vickilyn Reynolds|Ronn Riser|Kathleen Bradley|Tony Cox,Ice Cube,91,""$3,500,000"",adult lives at home|hat|drug user|drug"
"70,George Clooney|Quentin Tarantino|Harvey Keitel|Juliette Lewis|Ernest Liu|Salma Hayek|Cheech Marin|Danny Trejo|Tom Savini|Fred Williamson|Michael Parks|Brenda Hillhouse|John Saxon|Marc Lawrence|Kelly Preston,Robert Kurtzman,108,""$19,000,000"",sex offender|vampire|stripper|rape victim"
"71,William Baldwin|Cindy Crawford|Steven Berkoff|Christopher McDonald|Miguel Sandoval|Johann Carlo|Salma Hayek|John Bedford Lloyd|Olek Krupa|Jenette Goldstein|Marc Macaulay|Sonny Carl Davis|Frank Medrano|Don Yesso|Paul Dillon,Paula Gosling,91,""$50,000,000"",female lawyer|spy|based on novel|woman in jeopardy"
72,Josh Hamilton|Samuel Gould|Catherine Kellner|Jonathan Baumbach|John Lehr|Olivia d'Abo|Peter Czernin|Carlos Jacott|Chris Eigeman|Eric Stoltz|Eliza Roberts|Jason Wiles|Parker Posey|Christopher Reed|Noah Baumbach,Noah Baumbach,96,NA,female stockinged legs|pantyhose|slacker|beer drinking
73,Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines|Salomé Lelouch|Annie Girardot|Philippe Léotard|Clémentine Célarié|Philippe Khorsand|Ticky Holgado|Rufus|Nicole Croisille|William Leymergie|Jean Marais|Micheline Presle|Darry Cowl,Victor Hugo,175,NA,lawyer|boxer|jewish|paris france
74,Christian Slater|Mary Stuart Masterson|Pamela Adlon|Josh Brolin|Brian Tarantina|Debra Monk|Mary Alice|Kenneth Cranham|Ally Walker|Anne Pitoniak|Michael Haley|Cass Morgan|Gina Torres|Nick Tate|Víctor Sierra,Michael Goldenberg,87,NA,florist|flower|widower|rooftop
"75,Rick Moranis|Tom Arnold|Julianne Phillips|Carol Kane|Jeffrey Tambor|Curtis Armstrong|Faith Prince|Tony Pierce|Don Knotts|Blake Bashoff|Cody McMains|Harry Waters Jr.|Stuart Pankin|Justin Jon Ross|Michael Zwiener,Mark Steven Johnson,90,""$15,000,000"",close up of eyes|close up of lips|close up of mouth|bully"
"76,Peter Weller|Roy Dupuis|Jennifer Rubin|Andrew Lauer|Charles Edwin Powell|Ron White|Michael Caloz|Liliana Komorowska|Jason Cavalier|Leni Parker|Sylvain Massé|Bruce Boa|Tom Berry|Henry Ramer,Philip K. Dick,108,""$20,000,000"",stop motion|matte painting|miniature model|shakespearean quotation"
77,Nico|Tina Aumont|Christian Päffgen|Edith Boulogne|Jackson Browne|John Cale|Danny Fields|Carlos De Maldonado-Bostock|Jonas Mekas|Paul Morrissey|Sterling Morrison|Billy Name|Nikos Papatakis|Lutz Ulbrich|Viva,Susanne Ofteringer,NA,NA,f rated|female musician|singer songwriter|interview
"78,Jack Nicholson|David Morse|Anjelica Huston|Robin Wright|Piper Laurie|Richard Bradford|Priscilla Barnes|David Baerwald|Robbie Robertson|John Savage|Kari Wuhrer|Jennifer Leigh Warren|Kellita Smith|Richard C. Sarafian|Bobby Cooper,Sean Penn,111,""$9,000,000"",hit and run|obsession|forgiveness|loneliness"
"79,Demi Moore|Alec Baldwin|Joseph Gordon-Levitt|James Gandolfini|Lindsay Crouse|Anne Heche|Tony Lo Bianco|Michael Constantine|Matt Craven|Todd Susman|Michael Rispoli|Julie Halston|Frank Adonis|Matthew Cowles|Polly Adams,George Dawes Green,118,""$44,000,000"",female frontal nudity|female nudity|ankle holster|ankle"
"80,Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy|Anna Borkowska|Mohammad Shahani|Mohammed Bakhtiar|Aliasghar Smadi|Hamidreza Tahery|Asghar Barzegar|Hasan Neamatolahi|Bosnali Bahary|Mohammadreza Baryar|Shaker Hayely|Homayoon Rokani|Mohammad Farakani,Abbas Kiarostami,85,""$150,000"",money|little girl|shopkeeper|snake charmer"
"81,Andy Garcia|Christopher Lloyd|William Forsythe|Bill Nunn|Treat Williams|Jack Warden|Steve Buscemi|Fairuza Balk|Gabrielle Anwar|Christopher Walken|Michael Nicolosi|Bill Cobbs|Marshall Bell|Glenn Plummer|Don Stark,Scott Rosenberg,115,""$7,000,000"",debt|contract killer|one last job|gangster"
